initial_seed,mutation_seed,generation,species_count,frequencies,dominant_frequency,frequency_entropy_nats,mean_score,score_min,score_max,extinct_count,mutation_unchanged,mutation_new,mutation_merged,mutation_blocked_at_cap,mean_node_count,max_node_count,max_memory_depth
17,23,0,6,0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666,0.16666666666666666,1.791759469228055,,,,,,,,,3.3333333333333335,5,1
17,23,1,4,0.45865604136419813 0.44134395863580184 0.050961782373799801 0.049038217626200205,0.45865604136419813,1.018045137473836,0.9174722222222221,0.8009166666666666,1.1631666666666665,4,0,2,0,0,3.0,6,2
17,23,2,8,0.41279043722777831 0.39720956277222164 0.045865604136419824 0.044134395863580186 0.045865604136419817 0.044134395863580186 0.0050961782373799801 0.004903821762620021,0.4127904372277783,1.3431281108652844,0.0,0.0,0.0,0,0,4,0,0,3.875,9,3
17,23,3,9,0.37151139350500051 0.39720956277222169 0.045865604136419831 0.044134395863580193 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3972095627722217,1.4773192535868465,0.0,0.0,0.0,0,0,1,0,7,3.888888888888889,9,3
17,23,4,9,0.37151139350500051 0.39720956277222169 0.045865604136419831 0.044134395863580193 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3972095627722217,1.4773192535868465,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
17,23,5,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,1,0,1,7,3.888888888888889,9,3
17,23,6,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,0,0,0,9,3.888888888888889,9,3
17,23,7,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
17,23,8,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,0,0,0,9,3.888888888888889,9,3
17,23,9,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,0,0,0,9,3.888888888888889,9,3
17,23,10,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
17,23,11,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
17,23,12,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
17,23,13,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.083855352140802364 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.0049038217626200219 0.041279043722777839,0.3715113935050005,1.5484374152286386,0.0,0.0,0.0,0,0,0,0,9,3.888888888888889,9,3
17,23,14,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,0,0,1,8,3.888888888888889,9,3
17,23,15,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
