initial_seed,mutation_seed,generation,species_count,frequencies,dominant_frequency,frequency_entropy_nats,mean_score,score_min,score_max,extinct_count,mutation_unchanged,mutation_new,mutation_merged,mutation_blocked_at_cap,mean_node_count,max_node_count,max_memory_depth
29,31,0,6,0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.16666666666666666,0.16666666666666666,1.791759469228055,,,,,,,,,4.166666666666667,6,1
29,31,1,6,0.29977868126823826 0.29978851765631664 0.30043280107544507 0.033308742363137592 0.033309835295146292 0.033381422341716122,0.30043280107544507,1.4236947417705161,1.3372499999999998,1.1937499999999999,1.42775,3,0,3,0,0,7.833333333333333,13,2
29,31,2,6,0.30712181208034856 0.30710556815242585 0.28577261976722557 0.03412464578670539 0.03412284090582509 0.031752513307469511,0.30712181208034856,1.4231283824089778,1.3515958275077553,1.0857344525036097,1.495908542639337,3,0,3,0,0,6.0,9,2
29,31,3,8,0.29931045904622466 0.30317054415286815 0.2642834549610506 0.033235541839856546 0.033256717671802744 0.033685616016985352 0.029364828329005627 0.0036928379822062833,0.30317054415286815,1.5393905329742334,1.3282765921711073,1.1024682847564051,1.4669142532069586,2,0,4,0,0,7.125,17,3
29,31,4,9,0.2957990942254487 0.29809135904899819 0.24086439093486414 0.032387384760901076 0.036508634477542108 0.032866566025049851 0.033121262116555354 0.026762710103873794 0.0035985983067667866,0.2980913590489982,1.6381803846766678,1.3059500638884132,0.9605320342063695,1.4415676474942591,3,0,4,0,1,6.888888888888889,12,3
29,31,5,9,0.27920844305469095 0.28131690900889927 0.2364040955962354 0.033492227825845426 0.038346742690727381 0.034470178154900111 0.034480808994969178 0.031023160339410109 0.031257434334322147,0.2813169090088993,1.7410109414699833,1.2124556322663247,0.9657737661863676,1.3124174772215453,2,0,2,0,5,7.111111111111111,14,2
29,31,6,9,0.27482127631936099 0.27476179238566834 0.23838488804001354 0.041972967355254187 0.037698391813355409 0.03690214903482214 0.034393749639855434 0.03053569736881789 0.030529088042852037,0.274821276319361,1.759111862707878,1.2645326496927043,0.9846427393039305,1.453989339427674,2,0,2,0,5,6.444444444444445,9,2
29,31,7,9,0.26327872565747251 0.29146551247337549 0.23018766857613251 0.044972851010991112 0.040127835033908321 0.036709775766078305 0.032035425225891236 0.031969014516431277 0.029253191739719176,0.2914655124733755,1.7622598751958036,1.3086774867599364,0.9600138965992228,1.4699306752294339,1,0,1,0,7,6.444444444444445,9,2
29,31,8,9,0.25076765890327357 0.30750619858156814 0.22075756020808607 0.04774001588909281 0.042467723230414332 0.038801875899757456 0.033208545483468931 0.030887348592863875 0.027863073211474847,0.30750619858156814,1.7686975835636027,1.2674356835097658,0.9094643110686039,1.4055814657417112,1,0,1,0,7,6.111111111111111,9,2
29,31,9,9,0.25431449187577432 0.31228546765026083 0.20856583687084582 0.048614111118749255 0.043068382508725696 0.040047444336871296 0.033418898350679571 0.031428201524118293 0.028257165763974933,0.31228546765026083,1.7729884148527721,1.157057056665431,0.8809232897007042,1.3175606931818329,0,0,0,0,9,6.111111111111111,9,2
29,31,10,9,0.28874460145487568 0.39453343140301506 0.061585453439898102 0.054332390887205873 0.051430955864119096 0.041847199525054599 0.039795752269749553 0.035647481661095777 0.032082733494986193,0.39453343140301506,1.6984611134869312,1.1248204322591386,0.8549318520157002,1.2791094439089568,1,0,1,0,7,6.888888888888889,10,2
29,31,11,9,0.32116605539978543 0.44039712719942453 0.058182343200309058 0.044430283697178642 0.039804656114780387 0.035685117266642828 0.048933014133269399 0.0064647048000343408 0.0049366981885754042,0.44039712719942453,1.4834851523630157,0.46132415924660763,0.4274800292125728,0.5342832990909451,4,0,4,0,1,8.444444444444445,12,3
29,31,12,9,0.32915841813838154 0.45583370245272259 0.061746699269749794 0.045765615383221332 0.0076051553954446455 0.0058083182648296684 0.036573157570931283 0.050648189161413622 0.0068607443633055326,0.4558337024527226,1.4102446915409148,0.701416144679935,0.6308536413242346,0.8437347764892432,3,0,3,0,3,9.444444444444445,13,3
29,31,13,6,0.35378313505380737 0.49188463363305396 0.054332231313138662 0.039309237228200823 0.05465384818145045 0.0060369145903487412,0.49188463363305396,1.191781960215964,0.8184012809766893,0.6520607949223787,0.8559719853248151,6,0,3,0,0,9.333333333333334,15,3
29,31,14,6,0.36444019378510301 0.49515292858342791 0.040406877631469003 0.040493354865011447 0.055016992064825326 0.0044896530701632222,0.4951529285834279,1.1592296280809786,0.3327491892099833,0.19558315241821264,0.40517156295518153,3,0,3,0,0,9.666666666666666,18,3
29,31,15,9,0.32388765265912228 0.44721398220846276 0.036807506800702446 0.04148396985540146 0.056296439986523464 0.0045427660822001045 0.035987516962124703 0.049690442467606975 0.0040897229778558281,0.44721398220846276,1.4563580341535238,0.44497676762391064,0.38234613245105326,0.5672949842414663,0,0,3,0,3,10.444444444444445,18,3
29,31,16,9,0.32487041845604542 0.4423144669386837 0.037493238444344851 0.042581698891873576 0.057522908107263994 0.0046246094904573614 0.036005212723190343 0.050424150893708442 0.0041632960544323245,0.4423144669386837,1.4658479642477404,0.611677182796371,0.5568989841633148,0.7439847994852283,0,0,0,0,9,10.444444444444445,18,3
29,31,17,9,0.32575748371120944 0.4374375757390484 0.038182448605443634 0.043703025797257031 0.058795106542867639 0.0047067267073926519 0.036008735899964166 0.051171790163764969 0.0042371068330521074,0.4374375757390484,1.475323510766829,0.6226056152680456,0.5674763852273812,0.7542733193010392,0,0,0,0,9,10.444444444444445,18,3
29,31,18,9,0.30486645093566389 0.44873551577453369 0.040326598344613655 0.046523609468017181 0.062360320400011486 0.0049679241745898021 0.053873414790750355 0.0044721160078573016 0.033874050103962661,0.4487355157745337,1.489554162444161,0.6336272479388149,0.5781275216058143,0.7647209130053141,1,0,1,0,7,10.555555555555555,18,3
29,31,19,9,0.28155240912530699 0.46171283657848999 0.042738300567405782 0.049403788680062038 0.066587292035719017 0.0052631339730653728 0.056720866447634015 0.0047377715783937764 0.031283601013923003,0.46171283657849,1.5015279652191165,0.7159989878623712,0.6570133303489364,0.8761969907754814,1,0,1,0,7,10.222222222222221,18,3
29,31,20,9,0.27980606952680814 0.45760395332892684 0.043750287883867062 0.050868627877663074 0.068725181300160434 0.0053856381573686978 0.057533850326081472 0.0048479314337456798 0.031478460165378599,0.45760395332892684,1.5136677873087505,0.7465825839715172,0.7020864932843713,0.9071154123146943,0,0,0,0,9,10.222222222222221,18,3
29,31,21,9,0.27797588852680649 0.4533513066266121 0.044793884945601548 0.052401340550200348 0.070958003059995292 0.0055118629298563943 0.058372981576048338 0.0049614248138967051 0.031673306970982751,0.4533513066266121,1.5260495678545858,0.7606095747488235,0.7141431197348532,0.9230552545996271,0,0,0,0,9,10.222222222222221,18,3
29,31,22,9,0.27605885106071781 0.44894865247019256 0.045869801539802205 0.054005780413519618 0.073290141747951204 0.0056418851943509235 0.059238860898292799 0.0050783191466965459 0.031867707528476348,0.44894865247019256,1.538669664079932,0.7750506634519585,0.7264939030316598,0.9393829859092345,0,1,0,0,8,10.222222222222221,18,3
29,31,23,9,0.27405191208821761 0.44438969610763773 0.046978674102299396 0.055686006828474834 0.075726062880757783 0.0057757727645560098 0.060132035803805661 0.0051986734821718094 0.032061165942079174,0.44438969610763773,1.55152274255656,0.7899133313839202,0.7391396366922147,0.9560967412334911,0,0,0,0,9,10.222222222222221,18,3
29,31,24,9,0.2719520196923732 0.43966813649072639 0.048121046716877766 0.057446288571982203 0.078270284530350454 0.0059135821944582972 0.061052986613616654 0.0053225365211609834 0.032253118668454074,0.4396681364907264,1.5646015570059495,0.8052038801725321,0.7520797904572776,0.9731923872205569,0,0,0,0,9,10.222222222222221,18,3
29,31,25,9,0.26975614278068055 0.43477771970393519 0.049297349487983935 0.059291106033578692 0.080927341863460817 0.006055356334029505 0.062002110640713162 0.0054499443958144177 0.032442928759803716,0.4347777197039352,1.5778967109898407,0.8209271771136395,0.7653123123906153,0.9906631982009304,0,0,0,0,9,10.222222222222221,18,3
