max_species,initial_seed,mutation_seed,generation,species_count,mean_score,dominant_frequency,max_memory_depth,mutation_unchanged,mutation_new,mutation_merged,mutation_blocked_at_cap
9,7,11,1,6,1.417361111111111,0.30422111206938635,2,0,3,0,0
9,7,11,2,6,1.5504734065769827,0.3016265989885973,2,0,3,0,0
9,7,11,3,8,1.5179149668405207,0.29365696240713435,3,0,4,0,0
9,7,11,4,9,1.562447376582669,0.2804752715822875,2,0,3,0,3
9,7,11,5,9,1.5080883235112963,0.2957643734091462,2,0,0,0,9
9,7,11,6,9,1.5126488123648012,0.3051207433326584,2,0,0,0,9
9,7,11,7,9,1.5108993772601724,0.3058593803315282,2,0,0,0,9
9,7,11,8,9,1.5079480850984687,0.3073246568037576,2,0,0,0,9
9,7,11,9,9,1.506084037137443,0.3087616705787481,2,0,0,0,9
9,7,11,10,9,1.5053637362728965,0.3102688552300763,2,0,0,0,9
9,7,11,11,9,1.505702478453633,0.3117621181951563,2,0,0,0,9
9,7,11,12,9,1.506899539707228,0.3131627138189712,2,0,0,0,9
9,7,11,13,9,1.5085686712584697,0.31438581286678914,2,0,0,0,9
9,7,11,14,9,1.5103373363530557,0.3153643820400171,2,0,0,0,9
9,7,11,15,9,1.511926757064883,0.3160568190334982,2,0,0,0,9
9,7,11,16,9,1.5131752857384345,0.3164472242796086,2,0,0,0,9
9,7,11,17,9,1.5140322253213983,0.3165451822399294,2,0,0,0,9
9,7,11,18,9,1.5145204085756944,0.3163789650264999,2,0,0,0,9
9,7,11,19,9,1.514703465606671,0.3160160986338229,2,0,0,0,9
9,7,11,20,9,1.5146755007367348,0.31549946917042185,2,0,0,0,9
9,7,11,21,9,1.5145291146087075,0.3148768841882214,2,0,0,0,9
9,7,11,22,9,1.5143368181375027,0.3141864177518736,2,0,0,0,9
9,7,11,23,9,1.514165960722493,0.31345684248499764,2,0,0,0,9
9,7,11,24,9,1.514083577089696,0.3127098716112608,2,0,0,0,9
9,7,11,25,9,1.5141152930159798,0.3118265003967224,2,0,0,0,9
9,17,23,1,6,1.3659166666666667,0.31996531862070215,2,0,3,0,0
